i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
45,21764.75,46.41850614834158,8410640000.0,-41672.43584397217,-333674.4358444214
46,21765.0,47.300541003710926,8410640000.0,-41668.30451081305,-333670.30451107025
46,21765.25,45.055473153715376,8410640000.0,-41664.16510416347,-333666.16510391235
46,21765.5,47.01569511217481,8410640000.0,-41660.17275521222,-333662.1727552414
46,21765.75,47.50804572928918,8410640000.0,-41656.02784017907,-333658.0278406143
47,21766.0,47.72467971980624,8410640000.0,-41651.83512435306,-333653.8351240158
47,21766.25,46.156437456010735,8410640000.0,-41647.818804729905,-333649.8188047409
47,21766.5,47.42319961569623,8410640000.0,-41643.76758284531,-333645.7675828934
47,21766.75,47.93512810292205,8410640000.0,-41639.581079501724,-333641.58107948303
48,21767.0,46.58175962900988,8410640000.0,-41635.47979282895,-333637.4797925949
48,21767.25,47.76616327880312,8410640000.0,-41631.41339908553,-333633.4133987427
48,21767.5,48.98981945692165,8410640000.0,-41627.299736999244,-333629.2997369766
48,21767.75,45.607002108641886,8410640000.0,-41623.2401414416,-333625.2401418686
49,21768.0,46.27457103298499,8410640000.0,-41619.12321949858,-333621.12321949005
49,21768.25,46.88243321395662,8410640000.0,-41615.01374112254,-333617.0137414932
49,21768.5,47.444265395718716,8410640000.0,-41610.84111635653,-333612.84111595154
49,21768.75,46.699056659242665,8410640000.0,-41606.75549266563,-333608.7554922104
50,21769.0,48.73647498040313,8410640000.0,-41602.62292236066,-333604.62292194366
50,21769.25,47.23861239604339,8410640000.0,-41598.60777991627,-333600.60777950287
50,21769.5,46.91786548176735,8410640000.0,-41594.45329436018,-333596.453294754
50,21769.75,47.97561721017565,8410640000.0,-41590.421069006545,-333592.4210691452
51,21770.0,46.76496996252265,8410640000.0,-41586.16187681156,-333588.16187667847
51,21770.25,46.514551464632454,8410640000.0,-41582.051619920174,-333584.0516195297
51,21770.5,46.24414944441821,8410640000.0,-41578.06129293585,-333580.0612926483
51,21770.75,49.34471561507866,8410640000.0,-41573.8011875062,-333575.80118751526
52,21771.0,47.29320199632858,8410640000.0,-41569.81377807695,-333571.8137779236
52,21771.25,48.044029490819916,8410640000.0,-41565.67991080966,-333567.6799106598
52,21771.5,48.234739120930776,8410640000.0,-41561.65528584637,-333563.65528583527
52,21771.75,50.09555285173357,8410640000.0,-41557.520848531894,-333559.52084827423
