i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp, second_moment,RTEC
39,21758.25,38.55525044905026,8410640000.0,-41778.815593579835,-333780.8155937195,5.481366824811185,3.112784514857885e+30
39,21758.5,41.60261363820025,8410640000.0,-41774.81103425547,-333776.8110342026,3.819089622848684,2.3034292457879184e+30
39,21758.75,41.85430720183048,8410640000.0,-41770.69531864501,-333772.69531822205,5.384529858323349,3.066889717810886e+30
40,21759.0,40.783604899155364,8410640000.0,-41766.71850261924,-333768.71850299835,4.339188214485907,2.562017400862469e+30
40,21759.25,41.54020121912349,8410640000.0,-41762.50903529348,-333764.5090351105,4.979910647031853,2.873599858060848e+30
40,21759.5,40.107300179243445,8410640000.0,-41758.529632327605,-333760.52963256836,5.366984195518883,3.058559488310892e+30
40,21759.75,41.34364841441446,8410640000.0,-41754.27568853,-333756.2756881714,5.0409519124985795,2.9029226479130615e+30
41,21760.0,43.97046510819803,8410640000.0,-41750.089037964484,-333752.0890378952,4.084427174301513,2.436039348250906e+30
41,21760.25,44.14556885500845,8410640000.0,-41746.10201164405,-333748.1020116806,4.22989130418041,2.508125946891085e+30
41,21760.5,45.7954518568492,8410640000.0,-41742.02164833893,-333744.021648407,3.8618745075697545,2.324913499287809e+30
41,21760.75,45.139794278099124,8410640000.0,-41737.865917442774,-333739.8659172058,3.9439230425677296,2.3660033843966294e+30
42,21761.0,45.86423601542731,8410640000.0,-41733.97798836035,-333735.9779882431,4.5766229778976895,2.678320931843521e+30
42,21761.25,47.27407782546702,8410640000.0,-41729.73403568948,-333731.73403549194,5.114287611604066,2.93807328736203e+30
42,21761.5,43.964460980315586,8410640000.0,-41725.79623922651,-333727.79623889923,4.832355108136362,2.802468259211367e+30
42,21761.75,46.22025530538821,8410640000.0,-41721.701781966956,-333723.70178222656,4.823659756120005,2.7982653215656215e+30
43,21762.0,45.92810241438497,8410640000.0,-41717.39127448758,-333719.3912744522,5.212309271955975,2.9849254030341734e+30
43,21762.25,45.12241853470286,8410640000.0,-41713.50024687166,-333715.50024700165,5.302245171947324,3.0277836487551847e+30
43,21762.5,46.33346374001102,8410640000.0,-41709.138814700826,-333711.13881492615,4.715221984048918,2.745744491369925e+30
43,21762.75,44.807516050336744,8410640000.0,-41705.26377715119,-333707.2637767792,4.265738139843196,2.525826380412191e+30
44,21763.0,44.78957611061704,8410640000.0,-41701.06109790043,-333703.06109809875,4.622028502068558,2.700446126343124e+30
44,21763.25,46.35653893578943,8410640000.0,-41697.046600821086,-333699.0466012955,4.605688661816366,2.692488243164928e+30
44,21763.5,45.40923559986786,8410640000.0,-41693.061926117385,-333695.06192588806,4.915370282566333,2.8425309436285407e+30
44,21763.75,45.75561710685255,8410640000.0,-41688.86946696604,-333690.8694667816,3.84029949798079,2.314084683273543e+30
45,21764.0,46.3102654188001,8410640000.0,-41684.667891488454,-333686.6678915024,4.98682643557623,2.876925036586445e+30
45,21764.25,45.6870825231183,8410640000.0,-41680.592397238346,-333682.5923976898,4.870347872078824,2.820817484673274e+30
45,21764.5,47.343247284363756,8410640000.0,-41676.55394585675,-333678.5539455414,5.189595913064569,2.9740821056203096e+30
45,21764.75,46.41850614834158,8410640000.0,-41672.43584397217,-333674.4358444214,5.34295336758554,3.047142898357265e+30
46,21765.0,47.300541003710926,8410640000.0,-41668.30451081305,-333670.30451107025,5.490906787305329,3.117298526358292e+30
46,21765.25,45.055473153715376,8410640000.0,-41664.16510416347,-333666.16510391235,4.786914384333138,2.780490303498852e+30
46,21765.5,47.01569511217481,8410640000.0,-41660.17275521222,-333662.1727552414,5.488486731319151,3.116153555473042e+30
46,21765.75,47.50804572928918,8410640000.0,-41656.02784017907,-333658.0278406143,4.251992945536585,2.5190422265736612e+30
47,21766.0,47.72467971980624,8410640000.0,-41651.83512435306,-333653.8351240158,4.614317415674227,2.696691232742787e+30
47,21766.25,46.156437456010735,8410640000.0,-41647.818804729905,-333649.8188047409,5.319653978531329,3.0360656272245496e+30
47,21766.5,47.42319961569623,8410640000.0,-41643.76758284531,-333645.7675828934,5.476153967112489,3.110317400710583e+30
47,21766.75,47.93512810292205,8410640000.0,-41639.581079501724,-333641.58107948303,5.759475443992563,3.2438501022000465e+30
48,21767.0,46.58175962900988,8410640000.0,-41635.47979282895,-333637.4797925949,5.1865575006018,2.972630976399748e+30
48,21767.25,47.76616327880312,8410640000.0,-41631.41339908553,-333633.4133987427,4.747390937427709,2.7613460266022924e+30
48,21767.5,48.98981945692165,8410640000.0,-41627.299736999244,-333629.2997369766,5.309673296007246,3.031318020766153e+30
48,21767.75,45.607002108641886,8410640000.0,-41623.2401414416,-333625.2401418686,5.739939723780664,3.234678421439221e+30
49,21768.0,46.27457103298499,8410640000.0,-41619.12321949858,-333621.12321949005,3.835228052879959,2.3115377800077915e+30
49,21768.25,46.88243321395662,8410640000.0,-41615.01374112254,-333617.0137414932,4.219795734021419,2.503136456520437e+30
49,21768.5,47.444265395718716,8410640000.0,-41610.84111635653,-333612.84111595154,3.835232468937077,2.3115399980162446e+30
49,21768.75,46.699056659242665,8410640000.0,-41606.75549266563,-333608.7554922104,4.798497252258519,2.7860957870812824e+30
50,21769.0,48.73647498040313,8410640000.0,-41602.62292236066,-333604.62292194366,4.649658376173253,2.713891864816615e+30
50,21769.25,47.23861239604339,8410640000.0,-41598.60777991627,-333600.60777950287,5.352688408021351,3.0517688602552655e+30
50,21769.5,46.91786548176735,8410640000.0,-41594.45329436018,-333596.453294754,5.638884183269745,3.1871510533950506e+30
50,21769.75,47.97561721017565,8410640000.0,-41590.421069006545,-333592.4210691452,5.362562912480204,3.056459661337537e+30
51,21770.0,46.76496996252265,8410640000.0,-41586.16187681156,-333588.16187667847,4.749205306761595,2.7622254468417925e+30
51,21770.25,46.514551464632454,8410640000.0,-41582.051619920174,-333584.0516195297,4.753428915135878,2.764272402324591e+30
51,21770.5,46.24414944441821,8410640000.0,-41578.06129293585,-333580.0612926483,4.159418591294313,2.4732547892418158e+30
51,21770.75,49.34471561507866,8410640000.0,-41573.8011875062,-333575.80118751526,4.7667337368161835,2.7707185528967306e+30
52,21771.0,47.29320199632858,8410640000.0,-41569.81377807695,-333571.8137779236,3.9063772914511534,2.3472183427757804e+30
52,21771.25,48.044029490819916,8410640000.0,-41565.67991080966,-333567.6799106598,5.590066165564217,3.164140734663686e+30
52,21771.5,48.234739120930776,8410640000.0,-41561.65528584637,-333563.65528583527,3.9765666670349047,2.3823115593246325e+30
52,21771.75,50.09555285173357,8410640000.0,-41557.520848531894,-333559.52084827423,5.177821140364048,2.968457748650116e+30
53,21772.0,48.13238070219714,8410640000.0,-41553.327471669516,-333555.3274717331,5.206352830774467,2.9820825769515846e+30
53,21772.25,48.28217776084041,8410640000.0,-41549.23359022638,-333551.23359012604,4.6552555325304015,2.716614027894311e+30
53,21772.5,49.241553591454014,8410640000.0,-41545.22854289428,-333547.22854328156,4.8380552357730435,2.805222757601929e+30
53,21772.75,47.90081116941361,8410640000.0,-41540.99059485281,-333542.9905948639,4.138788746119766,2.4630282011574293e+30
54,21773.0,49.06428523125142,8410640000.0,-41536.934268081255,-333538.93426799774,4.0271420979160295,2.4075341889104086e+30
54,21773.25,47.40768345220714,8410640000.0,-41532.77585412308,-333534.7758541107,3.8517255986480463,2.3198208713584054e+30
54,21773.5,50.22330409844148,8410640000.0,-41528.70530855928,-333530.7053089142,5.305917355848656,3.0295310118191674e+30
54,21773.75,49.39315795924653,8410640000.0,-41524.62322732142,-333526.62322711945,5.682736122190769,3.207792319628533e+30
55,21774.0,47.72529727536668,8410640000.0,-41520.44454599345,-333522.44454574585,5.224637539782968,2.9908075868247477e+30
55,21774.25,49.17917248908806,8410640000.0,-41516.236613379,-333518.2366132736,4.686355653056667,2.7317295801257176e+30
55,21774.5,48.6937515807206,8410640000.0,-41512.30258419489,-333514.30258464813,5.682419035455279,3.207643161267932e+30
55,21774.75,48.25319513339509,8410640000.0,-41508.04184596199,-333510.04184627533,4.652998857304437,2.7155165651752397e+30
