year	day	hr	v
2021	290	1	3.7115e+02
2021	290	1	3.7267e+02
2021	290	2	3.6925e+02
2021	290	2	3.6860e+02
2021	290	2	3.7117e+02
2021	290	2	3.7238e+02
2021	290	2	3.7427e+02
2021	290	3	3.7104e+02
2021	290	3	3.8612e+02
2021	290	3	3.6985e+02
2021	290	3	3.7496e+02
2021	290	3	3.7942e+02
2021	290	4	3.6557e+02
2021	290	4	3.6553e+02
2021	290	4	3.7297e+02
2021	290	4	3.7083e+02
2021	290	4	3.6411e+02
2021	290	5	3.6493e+02
2021	290	5	3.6696e+02
2021	290	5	3.6557e+02
2021	290	5	3.7264e+02
2021	290	5	3.6764e+02
2021	290	6	3.7035e+02
2021	290	6	3.7203e+02
2021	290	6	3.6848e+02
2021	290	6	3.6971e+02
2021	290	6	3.6780e+02
2021	290	7	3.7449e+02
