ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686588145.4323435	10476.25000	-2851.680359	11424.09080	14275.77116
686588145.6823435	10476.50000	-2858.815914	11416.91590	14275.73181
686588145.9323435	10476.75000	-2855.297370	11420.39510	14275.69247
686588146.1823435	10477.00000	-2859.027424	11416.62570	14275.65312
686588146.4323435	10477.25000	-2853.475178	11422.13860	14275.61378
686588146.6823435	10477.50000	-2856.733730	11418.84070	14275.57443
686588146.9323435	10477.75000	-2853.985580	11421.54950	14275.53508
686588147.1823435	10478.00000	-2854.126231	11421.36950	14275.49573
686588147.4323435	10478.25000	-2853.270380	11422.18600	14275.45638
686588147.6823435	10478.50000	-2853.265629	11422.15140	14275.41703
686588147.9323435	10478.75000	-2854.973277	11420.40440	14275.37768
686588148.1823435	10479.00000	-2853.449723	11421.88860	14275.33832
686588148.4323435	10479.25000	-2853.441069	11421.85790	14275.29897
686588148.6823435	10479.50000	-2852.339114	11422.92050	14275.25961
686588148.9323435	10479.75000	-2851.787658	11423.43260	14275.22026
686588149.1823435	10480.00000	-2852.338702	11422.84220	14275.18090
686588149.4323435	10480.25000	-2851.264043	11423.87750	14275.14154
686588149.6823435	10480.50000	-2843.202284	11431.89990	14275.10218
686588149.9323435	10480.75000	-2854.378725	11420.68410	14275.06282
686588150.1823435	10481.00000	-2851.799464	11423.22400	14275.02346
686588150.4323435	10481.25000	-2853.085603	11421.89850	14274.98410
686588150.6823435	10481.50000	-2851.521240	11423.42350	14274.94474
686588150.9323435	10481.75000	-2850.120976	11424.78440	14274.90538
686588151.1823435	10482.00000	-2852.747712	11422.11830	14274.86601
686588151.4323435	10482.25000	-2852.776647	11422.05000	14274.82665
686588151.6823435	10482.50000	-2850.408781	11424.37850	14274.78728
686588151.9323435	10482.75000	-2851.105913	11423.64200	14274.74791
686588152.1823435	10483.00000	-2850.976046	11423.73250	14274.70855
686588152.4323435	10483.25000	-2850.620677	11424.04850	14274.66918
686588152.6823435	10483.50000	-2849.543207	11425.08660	14274.62981
686588152.9323435	10483.75000	-2849.017536	11425.57290	14274.59044
686588153.1823435	10484.00000	-2850.119164	11424.43190	14274.55106
686588153.4323435	10484.25000	-2849.879392	11424.63230	14274.51169
686588153.6823435	10484.50000	-2851.760919	11422.71140	14274.47232
686588153.9323435	10484.75000	-2851.695244	11422.73770	14274.43294
686588154.1823435	10485.00000	-2850.809868	11423.58370	14274.39357
686588154.4323435	10485.25000	-2851.963792	11422.39040	14274.35419
686588154.6823435	10485.50000	-2855.527815	11418.78700	14274.31482
686588154.9323435	10485.75000	-2848.580937	11425.69450	14274.27544
686588155.1823435	10486.00000	-2849.686159	11424.54990	14274.23606
686588155.4323435	10486.25000	-2846.947078	11427.24960	14274.19668
686588155.6823435	10486.50000	-2848.732197	11425.42510	14274.15730
686588155.9323435	10486.75000	-2848.563016	11425.55490	14274.11792
686588156.1823435	10487.00000	-2847.956832	11426.12170	14274.07853
686588156.4323435	10487.25000	-2849.137249	11424.90190	14274.03915
686588156.6823435	10487.50000	-2847.809164	11426.19060	14273.99976
686588156.9323435	10487.75000	-2847.815778	11426.14460	14273.96038
686588157.1823435	10488.00000	-2848.258492	11425.66250	14273.92099
